file_name,median magnitude,parameters
adxl345-20240326_214039.csv,11194.303327006179,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=55_freq=23.1kHz
adxl345-20240326_214041.csv,11186.90064600022,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=0_speed=55_freq=23.1kHz
adxl345-20240326_214044.csv,11090.973377198625,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=1_speed=55_freq=23.1kHz
adxl345-20240326_214046.csv,11006.227146859095,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=1_speed=55_freq=23.1kHz
adxl345-20240326_214049.csv,10852.401884564382,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=2_speed=55_freq=23.1kHz
adxl345-20240326_214051.csv,10708.72347158786,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=2_speed=55_freq=23.1kHz
adxl345-20240326_214054.csv,10727.8544592419,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=3_speed=55_freq=23.1kHz
adxl345-20240326_214056.csv,10893.488683219399,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=3_speed=55_freq=23.1kHz
adxl345-20240326_214058.csv,11449.810600252633,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=4_speed=55_freq=23.1kHz
adxl345-20240326_214101.csv,11452.575486475158,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=4_speed=55_freq=23.1kHz
adxl345-20240326_214103.csv,11143.786822319371,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=5_speed=55_freq=23.1kHz
adxl345-20240326_214105.csv,11222.621919582785,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=5_speed=55_freq=23.1kHz
adxl345-20240326_214108.csv,10758.935012918335,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=6_speed=55_freq=23.1kHz
adxl345-20240326_214110.csv,10808.45012265035,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=6_speed=55_freq=23.1kHz
adxl345-20240326_214113.csv,10554.71168666845,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=7_speed=55_freq=23.1kHz
adxl345-20240326_214115.csv,10574.874832829988,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=7_speed=55_freq=23.1kHz
adxl345-20240326_214118.csv,11005.251741873653,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=8_speed=55_freq=23.1kHz
adxl345-20240326_214120.csv,10979.114160456907,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=8_speed=55_freq=23.1kHz
adxl345-20240326_214123.csv,11463.945502063967,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=9_speed=55_freq=23.1kHz
adxl345-20240326_214125.csv,11598.743521283368,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=9_speed=55_freq=23.1kHz
adxl345-20240326_214128.csv,11094.59092670366,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=10_speed=55_freq=23.1kHz
adxl345-20240326_214130.csv,11168.419416494144,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=10_speed=55_freq=23.1kHz
adxl345-20240326_214132.csv,10528.26092759828,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=11_speed=55_freq=23.1kHz
adxl345-20240326_214135.csv,10585.253734403364,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=11_speed=55_freq=23.1kHz
adxl345-20240326_214137.csv,10735.727645695571,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=12_speed=55_freq=23.1kHz
adxl345-20240326_214140.csv,10857.720627862875,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=12_speed=55_freq=23.1kHz
adxl345-20240326_214142.csv,11281.99508797098,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=13_speed=55_freq=23.1kHz
adxl345-20240326_214144.csv,11180.653058905556,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=13_speed=55_freq=23.1kHz
adxl345-20240326_214147.csv,11381.802308446468,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=14_speed=55_freq=23.1kHz
adxl345-20240326_214149.csv,11468.68535262374,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=14_speed=55_freq=23.1kHz
adxl345-20240326_214152.csv,10867.578453900476,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=15_speed=55_freq=23.1kHz
adxl345-20240326_214154.csv,10792.892725632497,current=2100_tbl=1_toff=7_hstrt=5_hend=5_tpfd=15_speed=55_freq=23.1kHz
